ID,GROUPE,MUSCLE,SWE_perc,SWE_raw,SWE_dist,ACTIVATION ,LRELATIVE,LRELATIVE_pic,F_V,ForceRelative,ForceRelative_pic,ChargeInterne
1,NHE,SM,0.0,-0.1,0,0.341906541629110,0.646983970094280,0.996094737402380,1.084533402072570,0.263361446073820,0.440011218003090,0.256138934
2,NHE,SM,6.0,2.0,0.18,0.602637845431810,0.529459191792370,0.841289815051140,1.096523894038350,0.355183902997640,0.622870152930120,0.368125314
3,NHE,SM,0.0,-1.4,0,0.418067317159770,0.683203687167650,1.028166751411720,1.089419559574570,0.361932431015690,0.722365518671500,0.344896795
4,NHE,SM,0.0,-7.6,0,0.397005131891290,0.567854735264540,0.935769852444980,1.089608700407950,0.277134310208400,0.567802032754800,0.270509648
5,NHE,SM,0.0,-7.6,0,0.464851561030680,0.718161133973680,0.961237123547550,1.064402459121310,0.395749403673570,0.636119520524500,0.377783969
6,NHE,SM,0.0,-2.8,0,0.389357274030110,0.725039520787390,0.980087561583650,1.068378037744860,0.333167488512660,0.542712539888970,0.318965211
7,NHE,SM,0.0,-10.2,0,0.408530684649360,0.679364644622600,0.954965858491820,1.083000636407030,0.330431583788560,0.550278086436640,0.316785977
8,NHE,SM,26.0,22.1,0.31,0.574837374749190,0.642573050254230,0.921659046478170,1.073006436598320,0.427584426455030,0.699314634857710,0.412538741
9,NHE,SM,14.7,13.6,0.47,0.496470264575850,0.735746971445630,0.972378790091680,1.083525539312230,0.441883546113680,0.663016300168360,0.4180781
10,NHE,SM,0.0,-1.0,0,0.810502349959590,0.623546526480220,0.977201452183280,1.072780114730620,0.572055868564580,0.842663393819700,0.554421469
1,NHE,ST,26.2,6.7,0.76,0.639248446283040,0.936632982665680,1.151370378693690,1.083494267926530,0.640888675350510,0.840834342414140,0.664829727
2,NHE,ST,11.8,2.4,0.36,0.368417576481500,0.875040130004680,1.078379693305550,1.100418745036480,0.370244505728010,0.523148756710250,0.370151312
3,NHE,ST,40.7,23.1,0.69,0.579788568664160,0.958707083154660,1.164341341521680,1.090855359928140,0.599460630120160,1.041341744449860,0.632154604
4,NHE,ST,30.1,10.2,0.84,0.415303049378810,0.898146741388130,1.119798224391090,1.089452233323940,0.423633974435650,0.698734681170080,0.425396637
5,NHE,ST,65.0,17.3,1,0.263643967417830,0.989911675225190,1.138266344511420,1.076012290846980,0.284796731258980,0.378917872307300,0.287833222
6,NHE,ST,13.2,3.1,1,0.398137975278630,0.991208173201430,1.142431473493990,1.073000976319550,0.416414279940160,0.573348451665330,0.427600987
7,NHE,ST,15.2,11.7,0.77,0.563543636482840,0.958241267065880,1.128042970765560,1.082696953045010,0.577470497012120,0.764399496431140,0.590583276
8,NHE,ST,52.9,23.9,0.63,0.237080370375740,0.951599918183780,1.116296531170850,1.080586041163170,0.251428105306070,0.311548630944490,0.24619582
9,NHE,ST,11.4,6.0,0.36,0.501811778593630,1.002690030039870,1.142031124637080,1.090729907195920,0.527024799731930,0.713684208527720,0.562128421
10,NHE,ST,79.4,26.4,1,0.643806209905220,0.941167933881170,1.139862428560010,1.076153525966350,0.648943188884780,0.860097416638100,0.657034391
1,NHE,BF,8.5,4.5,0.24,0.517611570928460,0.701253541967820,0.973077077966820,1.072785328481180,0.458933827026720,0.752425717662950,0.424773452
2,NHE,BF,15.2,3.6,0.46,0.493424887043400,0.576492774447770,0.833965447312710,1.092525954546760,0.370231359246560,0.605843642371130,0.343800422
3,NHE,BF,18.1,12.6,0.31,0.374271431235150,0.759116821685300,1.004204073587950,1.074651756605510,0.359543542517060,0.680855886921680,0.332261107
4,NHE,BF,5.8,3.4,0.16,0.428186689461470,0.634475472898930,0.918200224037750,1.074479494734870,0.361815739859620,0.867856046856690,0.328346816
5,NHE,BF,0.0,-3.3,0,0.468733731089880,0.812171904380700,0.978410452050160,1.050856965679820,0.451899081181570,0.696882051472690,0.422622356
6,NHE,BF,0.0,-4.1,0,0.773878924808930,0.773528606469190,0.981696899197060,1.052456209658900,0.698298379878050,1.051714571009820,0.649222415
7,NHE,BF,4.6,2.5,0.23,0.649199185381950,0.776248012901070,0.992339698314270,1.068401089811810,0.602885407552090,0.907836848570560,0.562940927
8,NHE,BF,4.5,2.5,0.05,0.328528863901700,0.739115494093740,0.968516451700300,1.064545335271270,0.295176835177090,0.521626466325100,0.268767318
9,NHE,BF,5.4,3.5,0.17,0.582353056366030,0.803281799064620,0.933227147862520,1.059147019872570,0.560882047858230,0.847742981506680,0.516802143
10,NHE,BF,0.0,-8.5,0,0.684805555638480,0.710533468115690,0.976183094703770,1.061345300098770,0.587951496136900,0.880270237236860,0.537716788
11,DL,SM,2.4,1.3,0.07,0.360554922954510,1.008197133437500,1.343943109138510,1.084123335942310,0.387814043521340,0.539121108709840,0.398504239
12,DL,SM,15.6,8.5,0.4,0.322970388145920,1.239212309732270,1.501728583375050,1.095271320027220,0.484589336355110,0.650811656909990,0.430251064
13,DL,SM,23.4,8.4,0.42,0.362187221951930,1.301138164564540,1.570017234351200,1.078481815744890,0.634850940538850,1.016211672540360,0.510930731
14,DL,SM,15.0,5.5,0.36,0.195886431311400,1.183987720226060,1.520991921498320,1.095929521848570,0.328515108779740,0.678873888663460,0.271426686
15,DL,SM,15.2,5.8,1,0.192237573270360,1.339880907672190,1.527227021093370,1.081825234410710,0.406687497269510,0.652853134564020,0.279481015
16,DL,SM,6.1,8.8,0.42,0.178160890803310,1.454329923451210,1.653501950569530,1.098391000389780,0.753080368848230,1.368848157175350,0.282763893
17,DL,SM,22.4,6.2,0.31,0.105993650513460,1.284351928711040,1.472209815563020,1.080119745350000,0.282643858638260,0.452050922406350,0.143768811
18,DL,SM,52.8,22.0,1,0.215833236044950,1.030373332959900,1.234263574432680,1.071367573768140,0.247462186855660,0.317828428929410,0.232305484
19,DL,SM,9.1,4.0,0.34,0.331075701643090,1.217495708253850,1.427807674302960,1.070549190630980,0.421880353868110,0.490019313373810,0.429387634
20,DL,SM,33.5,20.4,0.57,0.208803083737480,1.278372310289290,1.473779957756290,1.067606236565270,0.363619729376500,0.521588614135190,0.284690161
21,DL,SM,0.0,-7.3,0,0.285954530266850,1.189729082163190,1.436154255017850,1.076001585603300,0.378424367348270,0.462713452105100,0.365691652
11,DL,ST,0.0,-6.7,0,0.238872047033910,1.142734731688260,1.343943109138510,1.096402771543300,0.287634905751470,0.395061670451910,0.302773113
12,DL,ST,18.0,5.5,0.47,0.158260881032960,1.281847828350520,1.430842076097330,1.103823010105840,0.300506345501190,0.425017288099590,0.222016923
13,DL,ST,0.2,0.0,0,0.221184425153500,1.319488475100880,1.482496099422040,1.087476664639050,0.407882987802280,0.592365906573200,0.317892028
14,DL,ST,0.0,-3.9,0,0.201999735547820,1.245123214551820,1.439556750827820,1.105515923512620,0.302695614360240,0.532022066964590,0.291945067
15,DL,ST,0.0,-2.7,0,0.166855234823660,1.335850793163330,1.442221016534890,1.094467088412260,0.329719869615570,0.439568889831680,0.243929581
16,DL,ST,0.0,-1.5,0,0.166417210201540,1.409809090110120,1.537888081387420,1.108065470453610,0.476696022093380,0.707935625332990,0.260421836
17,DL,ST,0.0,1.0,0.09,0.071089420922830,1.302249196739350,1.411959857014450,1.092677282727470,0.220301011775950,0.312533840512960,0.100756725
18,DL,ST,0.0,-1.9,0,0.133159453078930,1.161581092554900,1.268847105732090,1.080839005254960,0.187857624488810,0.258617791798460,0.169768711
19,DL,ST,2.7,-3.6,0,0.195822036872610,1.266662811925310,1.378383195979730,1.081589628994940,0.295104586339910,0.349406076679080,0.266764522
20,DL,ST,0.0,-2.3,0,0.176623401991170,1.296555569753270,1.406333071058190,1.079118236997830,0.302900941652170,0.397858934902010,0.247278092
21,DL,ST,10.2,2.3,0.34,0.178807590525340,1.251598503638440,1.384754796315810,1.087194747885970,0.275714767691350,0.352768377371460,0.245074676
11,DL,BF,30.4,10.6,0.93,0.411474457836240,1.074254978805670,1.343943109138510,1.095549159741590,0.468885917270690,0.635055733726410,0.488241135
12,DL,BF,5.0,2.8,0.13,0.231918952922790,1.266249529545590,1.543721896273910,1.107660327300930,0.460085998846530,0.785905622862740,0.322383155
13,DL,BF,32.2,12.1,0.58,0.147805836335040,1.338066948420550,1.614089921922460,1.092114323974290,0.564335007595980,1.145713615526690,0.216486236
14,DL,BF,26.9,9.3,0.64,0.572373524951400,1.178551107111960,1.545007246360770,1.090708179916650,0.635520413367860,1.157902516272220,0.76862764
15,DL,BF,0.0,-1.8,0,0.206382542638480,1.351130362571700,1.551206807075570,1.093734724704890,0.449716572583140,0.800017222923340,0.309646357
16,DL,BF,11.8,10.8,0.58,0.303467591811520,1.463248744464390,1.686968362789200,1.109964823158510,0.940096795004760,1.603037513373720,0.479005638
17,DL,BF,31.1,9.9,0.6,0.116117916067540,1.288176378558670,1.508787618392700,1.094721063475850,0.305249932518230,0.571073179448970,0.16218077
18,DL,BF,0.0,-2.5,0,0.596198397880800,1.130731913608360,1.372417319187990,1.079482568628770,0.631827317272710,0.824286809850790,0.751614132
19,DL,BF,17.6,6.4,0.66,0.340943741293170,1.209678252729120,1.434566923316820,1.077420061826720,0.430589925627230,0.533246106395090,0.449136571
20,DL,BF,25.7,8.9,0.43,0.340484591033230,1.302314637160040,1.515598790311000,1.078429958752410,0.512893062071580,0.774860802391870,0.486234959
21,DL,BF,20.1,11.3,0.66,0.305264406186760,1.195296820650620,1.442361871676970,1.083010430768520,0.397088705751440,0.503841719074160,0.402199321
