ID,GROUPE,MUSCLE,SWE_raw,ACTIVATION,LRELATIVE,F_V,ForceRelative
1,NHE,SM,-0.1,0.34190654162911,0.64698397009428,1.08453340207257,0.26336144607382
2,NHE,SM,2.0,0.60263784543181,0.52945919179237,1.09652389403835,0.35518390299764
3,NHE,SM,-1.4,0.41806731715977,0.68320368716765,1.08941955957457,0.36193243101569
4,NHE,SM,-7.6,0.39700513189129,0.56785473526454,1.08960870040795,0.2771343102084
5,NHE,SM,-7.6,0.46485156103068,0.71816113397368,1.06440245912131,0.39574940367357
6,NHE,SM,-2.8,0.38935727403011,0.72503952078739,1.06837803774486,0.33316748851266
7,NHE,SM,-10.2,0.40853068464936,0.6793646446226,1.08300063640703,0.33043158378856
8,NHE,SM,22.1,0.57483737474919,0.64257305025423,1.07300643659832,0.42758442645503
9,NHE,SM,13.6,0.49647026457585,0.73574697144563,1.08352553931223,0.44188354611368
10,NHE,SM,-1.0,0.81050234995959,0.62354652648022,1.07278011473062,0.57205586856458
1,NHE,ST,6.7,0.63924844628304,0.93663298266568,1.08349426792653,0.64088867535051
2,NHE,ST,2.4,0.3684175764815,0.87504013000468,1.10041874503648,0.37024450572801
3,NHE,ST,23.1,0.57978856866416,0.95870708315466,1.09085535992814,0.59946063012016
4,NHE,ST,10.2,0.41530304937881,0.89814674138813,1.08945223332394,0.42363397443565
5,NHE,ST,17.3,0.26364396741783,0.98991167522519,1.07601229084698,0.28479673125898
6,NHE,ST,3.1,0.39813797527863,0.99120817320143,1.07300097631955,0.41641427994016
7,NHE,ST,11.7,0.56354363648284,0.95824126706588,1.08269695304501,0.57747049701212
8,NHE,ST,23.9,0.23708037037574,0.95159991818378,1.08058604116317,0.25142810530607
9,NHE,ST,6.0,0.50181177859363,1.00269003003987,1.09072990719592,0.52702479973193
10,NHE,ST,26.4,0.64380620990522,0.94116793388117,1.07615352596635,0.64894318888478
1,NHE,BF,4.5,0.51761157092846,0.70125354196782,1.07278532848118,0.45893382702672
2,NHE,BF,3.6,0.4934248870434,0.57649277444777,1.09252595454676,0.37023135924656
3,NHE,BF,12.6,0.37427143123515,0.7591168216853,1.07465175660551,0.35954354251706
4,NHE,BF,3.4,0.42818668946147,0.63447547289893,1.07447949473487,0.36181573985962
5,NHE,BF,-3.3,0.46873373108988,0.8121719043807,1.05085696567982,0.45189908118157
6,NHE,BF,-4.1,0.77387892480893,0.77352860646919,1.0524562096589,0.69829837987805
7,NHE,BF,2.5,0.64919918538195,0.77624801290107,1.06840108981181,0.60288540755209
8,NHE,BF,2.5,0.3285288639017,0.73911549409374,1.06454533527127,0.29517683517709
9,NHE,BF,3.5,0.58235305636603,0.80328179906462,1.05914701987257,0.56088204785823
10,NHE,BF,-8.5,0.68480555563848,0.71053346811569,1.06134530009877,0.5879514961369
11,DL,SM,1.3,0.36055492295451,1.0081971334375,1.08412333594231,0.38781404352134
12,DL,SM,8.5,0.32297038814592,1.23921230973227,1.09527132002722,0.48458933635511
13,DL,SM,8.4,0.36218722195193,1.30113816456454,1.07848181574489,0.63485094053885
14,DL,SM,5.5,0.1958864313114,1.18398772022606,1.09592952184857,0.32851510877974
15,DL,SM,5.8,0.19223757327036,1.33988090767219,1.08182523441071,0.40668749726951
16,DL,SM,8.8,0.17816089080331,1.45432992345121,1.09839100038978,0.75308036884823
17,DL,SM,6.2,0.10599365051346,1.28435192871104,1.08011974535,0.28264385863826
18,DL,SM,22.0,0.21583323604495,1.0303733329599,1.07136757376814,0.24746218685566
19,DL,SM,4.0,0.33107570164309,1.21749570825385,1.07054919063098,0.42188035386811
20,DL,SM,20.4,0.20880308373748,1.27837231028929,1.06760623656527,0.3636197293765
21,DL,SM,-7.3,0.28595453026685,1.18972908216319,1.0760015856033,0.37842436734827
11,DL,ST,-6.7,0.23887204703391,1.14273473168826,1.0964027715433,0.28763490575147
12,DL,ST,5.5,0.15826088103296,1.28184782835052,1.10382301010584,0.30050634550119
13,DL,ST,0.0,0.2211844251535,1.31948847510088,1.08747666463905,0.40788298780228
14,DL,ST,-3.9,0.20199973554782,1.24512321455182,1.10551592351262,0.30269561436024
15,DL,ST,-2.7,0.16685523482366,1.33585079316333,1.09446708841226,0.32971986961557
16,DL,ST,-1.5,0.16641721020154,1.40980909011012,1.10806547045361,0.47669602209338
17,DL,ST,1.0,0.07108942092283,1.30224919673935,1.09267728272747,0.22030101177595
18,DL,ST,-1.9,0.13315945307893,1.1615810925549,1.08083900525496,0.18785762448881
19,DL,ST,-3.6,0.19582203687261,1.26666281192531,1.08158962899494,0.29510458633991
20,DL,ST,-2.3,0.17662340199117,1.29655556975327,1.07911823699783,0.30290094165217
21,DL,ST,2.3,0.17880759052534,1.25159850363844,1.08719474788597,0.27571476769135
11,DL,BF,10.6,0.41147445783624,1.07425497880567,1.09554915974159,0.46888591727069
12,DL,BF,2.8,0.23191895292279,1.26624952954559,1.10766032730093,0.46008599884653
13,DL,BF,12.1,0.14780583633504,1.33806694842055,1.09211432397429,0.56433500759598
14,DL,BF,9.3,0.5723735249514,1.17855110711196,1.09070817991665,0.63552041336786
15,DL,BF,-1.8,0.20638254263848,1.3511303625717,1.09373472470489,0.44971657258314
16,DL,BF,10.8,0.30346759181152,1.46324874446439,1.10996482315851,0.94009679500476
17,DL,BF,9.9,0.11611791606754,1.28817637855867,1.09472106347585,0.30524993251823
18,DL,BF,-2.5,0.5961983978808,1.13073191360836,1.07948256862877,0.63182731727271
19,DL,BF,6.4,0.34094374129317,1.20967825272912,1.07742006182672,0.43058992562723
